"wals","FAM","GEN","SUBGEN","OID_","Language","Population","Latitude","Longitude","Genus","Family","alt","bio1","bio4","bio12","bio17","X100alt","X100bio1","X100bio4","X100bio12","X100bio17","X500alt","X500bio1","X500bio4","X500bio12","X500bio17","ID","ISO.code","Language.1","Family.1","Region","Autotyp.area","Coordinates"
"ngi","Pama-Nyungan","Wiradhuric","Wiradhuric",183,"Nanai",1390,49.5,137,105103,105,101,5,13823,673,43,174.68,0.6,13823.2,687.79,43.96,430.64,-15.66,14058.6,729.23,49.27,183,"wyb ","Ngiyambaa ","Pama-Nyungan ","Australia ","Australia ","-31.75, 145.5"
"nen","Uralic","Samoyedic","Samoyedic",184,"Nenets",21900,69,72,207105,207,34,-96,12482,330,52,22.98,-95.02,12469.5,328.85,52.05,30.82,-87.99,12441.1,344.23,52.36,184,"nha ","Nhanda ","Pama-Nyungan ","Australia ","Australia ","-27, 114.167"
"nyr","Pama-Nyungan","South-West","Marngu",185,"Neo-Aramaic(PersianAzerbaijan)",4450,38,47,101101,101,1682,97,8538,342,29,1882.59,85.86,8489.3,359.33,31.26,1263.17,115.1,8461.77,499.4,35.8,185,"nna ","Nyangumarta ","Pama-Nyungan ","Australia ","Australia ","-20, 121"
"nya","Pama-Nyungan","Dyirbalic","Nyawaygic",186,"Nepali",14160100,28,85,145102,145,1112,202,4521,1955,45,2075.78,141.3,4732.68,1477.35,30.99,2469.96,122.18,5614.3,895.84,25.73,186,"nyt ","Nyawaygi ","Pama-Nyungan ","Australia ","Northern Australia ","-18.917, 146"
"pkn","Pama-Nyungan","Baagandji","Baagandji",187,"NewariI(Kathmandu)",839000,27.67,85.5,189109,189,1445,174,4603,1795,32,1896.59,149.84,4724.56,1491.94,29.01,2385.08,127.25,5537.79,938.06,24.1,187,"drl ","Baagandji ","Pama-Nyungan ","Australia ","Australia ","-32, 142.533"
"pny","Pama-Nyungan","South-West","Ngayarda",188,"NezPerce",200,46,-116,182105,182,886,82,7224,616,104,1266.8,54.43,7304.25,691.75,105.34,1373.89,53.18,7813.72,490.98,77.72,188,"pnw ","Panyjima ","Pama-Nyungan ","Australia ","Australia ","-22.833, 119"
"pit","Pama-Nyungan","South-West","Wati",189,"Nganasan",130,71,93,207105,207,47,-114,15025,352,50,159.98,-120.08,14992,366.31,50.93,345.3,-129.38,14888.4,385.84,52.38,189,"pjt ","Pitjantjatjara ","Pama-Nyungan ","Australia ","Australia ","-26.833, 131"
"ppi","Pama-Nyungan","Karnic","Palku",190,"Ungarinjin",57,-16.33,126,110113,110,675,249,3007,1088,19,449.6,260.93,2976.8,1029.35,14.87,231.98,270.88,3548.21,695.25,9.82,190,"pit ","Pitta-Pitta ","Pama-Nyungan ","Australia ","Australia ","-23.5, 141"
"rit","Pama-Nyungan","Yuulngu","SouthernYolngu",191,"Ngiyambaa",12,-31.75,145.5,110102,110,190,185,5834,358,72,205.61,184.35,5841.42,367.34,75.93,170.26,183.6,5754.88,402.6,80.52,191,"rit ","Ritharngu ","Pama-Nyungan ","Australia ","Northern Australia ","-12.833, 135.5"
"thy","Pama-Nyungan","Paman","SouthwestPama",192,"Nancowry",10100,8.05,93.5,111104,111,43,273,482,2416,216,37.32,272.79,484.61,2408.68,217.79,213.21,260.89,571.43,2517.78,293.36,192,"thd ","Kuuk Thaayorre ","Pama-Nyungan ","Australia ","Northern Australia ","-14, 142.25"
"uhi","Pama-Nyungan","Paman","NorthernPama",193,"Chulupφ",13920,-23.5,-60.5,162101,162,149,231,3803,570,33,149.24,233.12,3743.27,661.04,42.64,200.29,231.44,3639.02,872.51,67.1,193,"urf ","Uradhi ","Pama-Nyungan ","Australia ","Northern Australia ","-12, 142.25"
"wan","Pama-Nyungan","Karnic","Ngura",194,"Nunggubuyu",110,-13.75,135.67,110114,110,33,272,2495,1107,6,59.66,270.68,2475.28,1108.92,6.32,137.17,267.94,2971.21,981.21,6.61,194,"nbx ","Wangkumara ","Pama-Nyungan ","Australia ","Australia ","-27.333, 143"
"wrl","Pama-Nyungan","South-West","Ngumpin-Yapa",195,"Nuuchahnulth",320,49.67,-126.67,209101,209,378,73,3545,2605,257,511.73,66.87,3816.39,2312.47,236.82,847.25,46.09,5636.52,1480.37,172.66,195,"wbp ","Warlpiri ","Pama-Nyungan ","Australia ","Australia ","-20, 132.333"
"wlw","Pama-Nyungan","Ngarna","SouthernNgarna",196,"Ojibwa(Eastern)",30500,46,-80,104101,104,237,48,10547,963,196,246.71,46.84,10542.7,950.58,190.52,277.26,42.38,10584,881.31,166.91,196,"wrb ","Warluwara ","Pama-Nyungan ","Australia ","Australia ","-22, 139"
"wrg","Pama-Nyungan","Dyirbalic","Dyirbalic",197,"Ormuri",6050,32.5,69.75,145107,145,2020,136,8174,406,31,1494.29,167.4,8280.86,348.92,25.23,1481.71,157.86,8240.3,395.99,23.11,197,"wgy ","Warrgamay ","Pama-Nyungan ","Australia ","Northern Australia ","-18.583, 146.167"
"pms","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",198,"Paamese",6000,-16.5,168.25,112101,112,71,247,1160,2265,316,167.15,242.15,1184.47,2322.78,328.29,176.18,242.49,1114.92,2633.04,401.74,198,"xxx-31 ","Warrnambool ","Pama-Nyungan ","Australia ","Australia ","-38.25, 142.5"
"pac","Austroasiatic","Mon-Khmer","EasternMon-Khmer",199,"Pacoh",32500,16.42,107.08,111101,111,549,229,2848,2394,148,480.62,234.29,2800.96,2451.06,114.31,296.34,249.74,2348.6,1894.32,46.86,199,"xxx-32 ","Wathawurrung ","Pama-Nyungan ","Australia ","Australia ","-38, 144"
"wat","Pama-Nyungan","South-West","Kartu-Nhanda",200,"Pßez",40000,2.67,-76,179101,179,2176,165,214,1751,330,1975.03,172.92,242.61,1875.44,279.7,903.09,226.03,481.57,2848.81,412.16,200,"wbv ","Watjarri ","Pama-Nyungan ","Australia ","Australia ","-28.167, 117.25"
"pai","Austronesian","Paiwan","Paiwan",201,"Paiwan",66100,22.5,120.83,112112,112,1066,189,2582,4199,176,548.99,212.81,2997.31,2639.11,117.88,420.41,202.77,4507.35,1945.63,156.47,201,"xxx-33 ","Wembawemba ","Pama-Nyungan ","Australia ","Australia ","-36, 142"
"wmu","Pama-Nyungan","Paman","CompromiseMiddlePama",202,"Panare",3540,6.5,-66,123101,123,242,265,611,2284,71,458.74,252.88,601.42,2334.69,76.43,279.02,261.68,611.33,2174.58,144.3,202,"wim ","Wik Mungkan ","Pama-Nyungan ","Australia ","Northern Australia ","-13.667, 141.833"
"wn","Pama-Nyungan","Paman","CompromiseMiddlePama",203,"Parauk",805700,23.25,99.5,111106,111,1434,182,3660,1428,40,1425.38,182.45,3671.36,1411.56,40.81,1221.98,195.39,3655.62,1423.3,41.68,203,"wig ","Wik Ngathana ","Pama-Nyungan ","Australia ","Northern Australia ","-13.917, 141.5"
"wir","Pama-Nyungan","South-West","Thura-Yura",204,"Pashto",7920000,33,67,145107,145,3370,16,9708,346,5,2524.33,68.09,9962.75,277.69,1.5,1786.79,126.96,8666.2,296.67,8.88,204,"wiw ","Wirangu ","Pama-Nyungan ","Australia ","Australia ","-32, 134"
"ynk","Pama-Nyungan","South-West","Wati",205,"Paumarφ",290,-6,-64,107101,107,76,264,310,2376,215,66.6,263.96,314.74,2459.65,220.96,86.92,262.46,396.27,2444.59,238.35,205,"kdd ","Yankuntjatjara ","Pama-Nyungan ","Australia ","Australia ","-27, 132"
"yny","Pama-Nyungan","Ngarna","Ngarna",206,"Pitjantjatjara",2660,-26,130,110102,110,832,193,6080,318,47,667.39,201.47,6048.37,286.61,40.06,462.39,211.17,5825.05,233.6,30.91,206,"jao ","Yanyuwa ","Pama-Nyungan ","Australia ","Northern Australia ","-15.833, 136"
"poh","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",207,"Pohnpeian",31350,6.88,158.25,112101,112,343,255,164,5081,980,64.14,269.79,127.5,4912.71,936.79,56.75,270.31,124.69,4839.81,933.94,207,"xxx-36 ","Yaygir ","Pama-Nyungan ","Australia ","Australia ","-29.667, 153"
"yid","Pama-Nyungan","Yidinic","Yidinic",208,"Polish",39042570,52,20,145104,145,141,78,8221,541,82,144.69,77.78,8158.43,546.59,81.99,217.6,74.82,7780.42,628.06,95.33,208,"yii ","Yidiny ","Pama-Nyungan ","Australia ","Northern Australia ","-17.917, 146.133"
"yin","Pama-Nyungan","South-West","Ngayarda",209,"Qawasqar",12,-49,-75,103101,103,253,69,2210,4550,1019,228.1,70.53,2245.59,4405.55,986.55,535.17,58.62,3105.72,1889.82,413.79,209,"yij ","Yindjibarndi ","Pama-Nyungan ","Australia ","Australia ","-21.5, 117"
"yng","Pama-Nyungan","South-West","Kartu-Nhanda",210,"Quechua(Cochabamba)",2785120,-17.5,-66,183101,183,2848,157,2103,575,11,3064.61,136.28,2032.93,977.67,56.5,2076.09,167.86,2168.74,996.56,76.61,210,"yia ","Yingkarta ","Pama-Nyungan ","Australia ","Australia ","-24.5, 114.833"
"yir","Pama-Nyungan","Paman","SouthwestPama",211,"Rama",24,11.75,-83.75,126105,126,50,257,747,4370,350,88.3,253.05,733.21,3756.3,285.41,346.14,246.44,873.63,2422.48,166.71,211,"yiy ","Yir Yoront ","Pama-Nyungan ","Australia ","Northern Australia ","-14.333, 142.25"
"yuw","Pama-Nyungan","Wiradhuric","Wiradhuric",212,"Rapanui",2600,-27.12,-109.37,112101,112,167,199,1977,1154,245,89.5,202.88,1980.38,1141.75,240.25,89.5,202.88,1980.38,1141.75,240.25,212,"kld ","Yuwaalaraay ","Pama-Nyungan ","Australia ","Australia ","-29.5, 148"
"ngk","Southern_Daly","Southern_Daly","Southern_Daly",214,"Romanian",23623890,46,25,145105,145,562,80,7761,637,89,731.91,71.25,7581.61,686.19,100.97,381.45,90.1,7857.13,634.48,109.55,214,"nam ","Ngan'gityemerri ","Southern Daly ","Australia ","Northern Australia ","-14.25, 130.417"
"ror","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",215,"Roro",15000,-8.75,146.58,112101,112,13,265,728,1324,93,612.12,236.62,742.01,1936.78,214.15,696.45,231.26,698.28,2922.95,473.65,215,"nam-2 ","Ngankikurungkurr ","Southern Daly ","Australia ","Northern Australia ","-14, 130.5"
"kay","Minkin-Tangkic","Tangkic","SouthernTangkic",216,"Rotokas",4320,-6,155.17,213101,213,987,220,514,3480,788,333.22,253.35,404.5,3374.71,733.74,259.51,256.35,406.72,3379.33,671.64,216,"gyd ","Kayardild ","Tangkic ","Australia ","Northern Australia ","-17.05, 139.5"
"yuk","Minkin-Tangkic","Tangkic","SouthernTangkic",217,"Rukai",10500,22.83,120.83,112113,112,1335,171,2665,3592,146,676.65,204.19,3096.2,2584.14,118.95,434.68,198.48,4793.25,1882.4,151.6,217,"gcd ","Yukulta ","Tangkic ","Australia ","Northern Australia ","-17.333, 138.833"
"tiw","Tiwi","Tiwi","Tiwi",218,"Russian",161727650,56,38,145104,145,156,47,9920,662,105,168.39,46.17,9948.94,651.37,101.48,165.87,42.96,10142.1,610.27,91.27,218,"tiw ","Tiwi ","Tiwi ","Australia ","Northern Australia ","-11.5, 131"
"wry","Gunwinyguan","WesternGunwinyguan","WesternGunwinyguan",219,"Saami(Central-Southern)",600,64.67,16.75,207106,207,402,6,8719,568,88,437.66,5.02,8663.64,584.85,91.99,454.35,10.35,7918.31,784.23,131.68,219,"wrz ","Warray ","Gunwinyku ","Australia ","Northern Australia ","-13.167, 131.25"
